Country Name,Country Code,Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),"Electricity production from renewable sources, excluding hydroelectric (% of total)",Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),GDP (constant 2015 US$),Gross_Capital_gdp_pct,Gross_Capital_growth,Gross capital formation (constant 2015 US$),"Population, total",energy_usage,GDP per capita,Vulnerability Score
"Korea, Rep.",KOR,0.4378223452616015,1.283324826651511,5351.311844295334,81.71173980471842,1446010287788.3906,29.659879727326857,5.0307848381075075,428858755007.1992,50880803.0,272287365500.0,28418.72472330214,0.36362672071955837
Kosovo,XKX,0.4624041267860781,0.0,1183.2245221423132,92.06079100237065,6120012788.5405445,29.139234754945967,3.658233630292969,1785598859.489443,1800531.0,2130874795.7675989,3399.826748715662,0.4703753084567866
Kuwait,KWT,0.8138025766350969,0.0,7307.092119665203,95.84494472563536,114247941704.45515,20.859190300200474,11.385025780032246,23846620934.96115,3750225.0,27240061934.5029,30477.683082173022,0.37750405615742944
Kyrgyz Republic,KGZ,1.545488993612013,0.0,584.5848359285313,86.73810947832361,6553589089.786112,35.71409817058829,6.695638211486269,2339256246.3207507,5972941.5,3487794917.471959,1097.1171322130035,0.36357189143882646
Lao PDR,LAO,0.47252531404336384,2.0,1147.1338237513926,98.0,13937517120.973135,30.679001502340885,10.177450494845687,4280181593.591035,6752408.5,7745916182.136406,2063.6626727090493,0.5147682048468216
Latvia,LVA,0.29426123257162684,16.155451862044828,2181.8912742905527,77.35871378668624,25864377573.930847,24.407842112490133,-0.2925473468202995,6311697049.70708,1985654.5,4332441199.94217,13026.826367323953,0.3767883166280411
Lebanon,LBN,0.5205990325146986,0.0,1683.799447005511,97.81055055390341,49814452122.1496,23.594987199453367,-4.298970804299998,11752137130.797743,6409729.5,10824265726.769598,7772.262555607004,0.4211370662700921
Lesotho,LSO,0.25663775208420997,2.0,526.5154211335213,98.0,2323944248.80717,32.2667265088981,2.5617358752154047,749206614.8744326,2092350.0,1101654541.4087234,1110.6242251336666,0.49599923771818627
Liberia,LBR,0.37316756303792564,2.0,526.5154211335213,98.0,3227375308.4328914,24.16336683296002,6.954886679216756,2446039432.519807,4611862.0,2428216463.1396837,699.8738886406996,0.5650369150829728
Libya,LBY,1.1902165074438034,0.0,2483.5445709768396,98.55564818170565,48924506196.20581,21.80286698977299,-25.82029106982612,10676096394.97018,6479535.5,16076707648.798004,7551.368808518891,0.41447698359703644
Liechtenstein,LIE,0.22260073458433552,2.0,5372.539131858141,98.0,6268515276.174405,22.991442074339,3.8782272167837846,67051555765.19023,37494.0,201437982.20988914,167187.15730982038,0.34479028761890707
Lithuania,LTU,0.3278749526393053,30.60052452823114,2287.1072185755247,82.99687473528174,40968775690.9699,21.427852143470467,15.950970877064085,8785179283.148415,2918638.5,6676614337.818655,14038.18033239744,0.37869702288329093
Luxembourg,LUX,0.16107439606678775,20.10962097055674,6704.756113083818,81.94702393905598,59404967235.9486,19.026036265349877,5.4346173394079,11301960306.666096,562961.5,3773481000.0,105522.97479927268,0.3098202818720561
"Macao SAR, China",MAC,0.04881844295313242,2.0,5372.539131858141,98.0,51222459662.58055,22.566626490889636,19.852428245526973,11388134543.845926,632300.0,3397056493.073903,81196.25956168381,0.34479028761890707
Madagascar,MDG,0.2936160472849118,2.0,526.5154211335213,98.0,11151071289.687607,16.241288787339677,4.159391964136738,1810648847.7298794,25095525.0,13213180913.941813,444.3319696943865,0.5651377374893731
Malawi,MWI,0.5428999739140119,2.0,526.5154211335213,98.0,9093917335.184315,24.16336683296002,6.954886679216756,2446039432.519807,16853562.5,8873660557.287622,539.5839825761657,0.5797500236881655
Malaysia,MYS,0.858117740643106,0.6556960687440263,2554.6125821291976,97.31409944890403,294055154021.4887,25.20093585171166,6.410175525266617,74120953887.89743,30964467.5,79003560303.43652,9495.205176732541,0.3855357738084958
